,FEAT,P_VALUE,LR_WEIGHT
0,000,0.06497443371761315,0.0
1,10,0.11055882041978111,0.0
2,100,0.005085144460900109,0.5363498206810897
3,11,0.47983727263944875,0.0
4,12,0.06584552982297612,0.0
5,13,0.7332446893526442,0.0
6,14,1.0,0.0
7,15,0.3542312701739696,0.0
8,150,0.3528701065405917,0.0
9,16,0.09025514428071,0.0
10,17,0.6512357509752584,0.0
11,18,0.19956395973888064,0.0
12,1878,0.8627092865107033,0.0
13,1880,1.0,0.0
14,1885,0.6911298545186316,0.0
15,1887,0.3039420073230499,0.0
16,1888,0.6999130789263013,0.0
17,1889,0.8584546679557625,0.0
18,1890,0.5380981141495946,0.0
19,1891,0.30769139653396005,0.0
20,1892,0.7045905626766065,0.0
21,1893,0.26981723216354636,0.0
22,1894,0.4233893470167871,0.0
23,1895,0.6457006929597928,0.0
24,1896,0.38954120140489334,0.0
25,1897,0.01489476892647345,0.0
26,1898,0.5059997335216846,0.0
27,1899,0.09451715642382388,0.0
28,19,0.5947433517712267,0.0
29,1900,0.5719876221867162,0.0
30,1901,0.11306858174980873,0.0
31,1902,0.05846777501273222,0.0
32,1903,0.49577489365372074,0.0
33,1904,0.691350633616413,0.0
34,1905,0.6395435540644048,0.0
35,1906,0.8387544315289064,0.0
36,1907,0.1901515596198181,0.0
37,1908,0.04277813298415834,0.0
38,1909,0.26939360318112526,0.0
39,1910,0.10639424221279618,0.0
40,1911,0.1476856996739271,0.0
41,1912,0.16834281448375288,0.0
42,1913,0.002627916585622401,0.0
43,1914,0.030271473719349153,0.0
44,1915,0.3821330960654985,0.0
45,1916,0.651508726280905,0.0
46,1917,0.5356281179358123,0.0
47,1918,0.003166376273116456,0.0
48,1919,0.09914743889882983,0.0
49,1920,0.03352079194421711,0.0
50,1921,0.8989054143744941,0.0
51,1922,0.3985491285687547,-0.22599270173189498
52,1923,0.08302136504037508,0.0
53,1924,0.04272383537974139,0.0
54,1925,0.24497342718088155,0.0
55,1926,0.02737405254460853,0.0
56,1927,0.23137179626987958,0.0
57,1928,0.33535558826417056,0.0
58,1929,0.12505464889878173,0.0
59,1930,0.221281490803381,0.0
60,1931,0.4496482782019182,0.0
61,1932,0.0741241752221221,0.0
62,1933,0.7230257502435433,0.0
63,1934,0.03083471957621673,0.0
64,1935,0.028316618181224724,0.0
65,1936,0.8500782907003291,0.0
66,1937,0.25857935512091446,0.0
67,1938,0.18452840393740033,0.0
68,1939,0.1499431338801999,0.0
69,1940,0.022829681004582766,0.0
70,1941,0.025514276430742857,0.0
71,1942,1.0,0.0
72,1943,0.10826166948001792,0.0
73,1944,0.18047097569947967,0.0
74,1945,0.003870251134019547,0.0
75,1946,0.5594776558484562,0.0
76,1947,0.7581996877621199,0.0
77,1948,0.11120740239907836,0.0
78,1949,0.2735870699576457,0.0
79,1950,0.017112428399983084,0.0
80,1951,0.17384225678828769,0.0
81,1952,0.6177240870286309,0.0
82,1953,0.03917663690239547,0.0
83,1954,0.030077491105900665,0.0
84,1955,0.023080662031372472,0.0
85,1956,0.15250728218609774,0.0
86,1957,0.024589150743137354,0.0
87,1958,0.23173864603061634,0.0
88,1959,0.08492232226337701,0.0
89,1960,0.18724512024749285,0.0
90,1961,0.04050150876889055,0.0
91,1962,0.13502010540235979,0.0
92,1963,0.11356435172591066,0.0
93,1964,0.06380415300017761,0.0
94,1965,0.9042294672979541,0.0
95,1966,0.24544460680180458,0.0
96,1967,0.29218462719665605,0.0
97,1968,0.021177812066953884,0.0
98,1969,0.8816797256011023,0.0
99,1970,0.034471705226160235,0.0
100,1971,0.13147927392697478,0.0
101,1972,0.718923524945764,0.0
102,1973,0.35731636854487003,0.0
103,1974,0.7936697227488239,0.0
104,1975,0.8796713043422728,0.0
105,1976,1.0,0.0
106,1977,0.7206158232076317,0.0
107,1978,0.13465784332110636,0.0
108,1979,0.08746020067450402,0.0
109,1980,0.14383097758364485,0.0
110,1981,0.07580876321105745,0.0
111,1982,0.8303517517179251,0.0
112,1983,0.8428420021577385,0.0
113,1984,0.1941305182731704,0.0
114,1985,0.5921969700388829,0.0
115,1986,0.5705549933092221,0.0
116,1987,1.0,0.0
117,1988,0.09952566383243885,0.0
118,1989,0.29328950385082087,0.0
119,1990,0.6296762803503613,0.0
120,1993,0.3964484245898059,0.0
121,19th,0.16588700463105288,0.0
122,20,0.4624661343003713,0.0
123,200,0.6820117530552874,0.0
124,20th,0.7794571750695628,0.0
125,21,0.5523586319995576,0.0
126,22,0.19702635536819235,0.0
127,23,0.332298058319379,0.0
128,24,0.3059089890480555,0.0
129,25,0.012099763473216774,0.0
130,250,0.8775880037225956,0.0
131,26,0.025415014066179728,0.0
132,27,0.56367490633998,0.0
133,28,0.07672076897066474,0.0
134,29,0.004050418454620516,0.0
135,30,0.1664242024364294,0.0
136,300,0.09127796193776487,0.0
137,31,1.0,0.0
138,33,0.01356137023809683,0.0
139,35,0.039110729938776796,0.0
140,38,0.39235103075131694,0.0
141,40,0.27749750926320726,0.0
142,400,0.02909989366960877,0.0
143,45,0.3994691547197695,0.0
144,50,0.0454437624881336,0.0
145,500,0.1130348191534903,0.0
146,55,0.3499343487571668,0.0
147,59,1.0,0.0
148,60,0.11185236083893241,0.0
149,600,0.06660816526842105,0.0
150,65,0.08529069509912553,0.0
151,70,0.10548232495251852,0.0
152,72,0.3039420073230499,0.0
153,75,0.691350633616413,0.0
154,77,0.3652337805106649,0.0
155,80,0.4814090878592132,0.0
156,800,0.12466215773530986,0.0
157,86,0.3945900258792697,0.0
158,90,0.3835452811621133,0.0
159,abandon,0.7558585663908153,0.0
160,abandoned,0.12086939542400481,0.0
