Voyage ID,Vessel name,Voyage ship place where vessel registered ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Percent men,Percent women,Percent children,Mortality rate,Captain's name,Resistance label
1,Pastora de Lima,,Rio de Janeiro,Mozambique,"Bahia, port unspecified",,1817,290,,,,0.28,"Dias, Manoel José",
2,Tibério,,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",,1817,223,,,,,"Mata, José Maria da",
3,Paquete Real,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,350,,,,0.14,"Ferreira, José dos Santos",
4,Bom Caminho,,"Bahia, port unspecified",Quilimane,"Bahia, port unspecified",,1817,342,,,,0.1,"Dias, Domingos Francisco",
5,Benigretta,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,516,,,,,,
6,Voador,,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",,1817,515,,,,,,
7,Formiga,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",,1817,204,,,,,"Viana, Isidoro Antônio",
8,Vigilante Africano,,"Pernambuco, port unspecified",Luanda,"Bahia, port unspecified",,1817,374,,,,,"Amorim, José Gomes de",
9,Constante,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,345,,,,0.06,"Narciso, Antônio",
10,Comerciante,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,478,,,,0.0062370063,"Braga, Isidoro Martins",
11,Diligente,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,180,,,,,,
12,Bonfim,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",640,1817,542,,,,0.22,"Coelho, João Batista",
13,Triunfo,,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",,1817,503,,,,,,
14,S Lourenço,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,471,,,,,"Vilasboas, João da Silveira",
15,Paquete da Bahia,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,478,,,,,"Almeida, Manoel Joaquim de",
16,Sociedade,,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",,1817,393,,,,,"Alves, João Luís",
17,Famoso Ateneu,,Rio de Janeiro,Cabinda,Rio de Janeiro,599,1817,545,,,,0.09,"Fogaça, Antônio Gomes",
18,Trajano,,Rio de Janeiro,Cabinda,Rio de Janeiro,463,1817,459,,,,0.01,"Silva, Joaquim Rodrigues da",
19,Maria,,Rio de Janeiro,Cabinda,Rio de Janeiro,519,1817,457,,,,0.12,"Silva, Joaquim Henriques da",
20,Bonfim,,Rio de Janeiro,Benguela,Rio de Janeiro,614,1817,598,,,,0.03,"Batalha, Luís Antônio",
21,Esgueira,,Rio de Janeiro,Quilimane,Rio de Janeiro,607,1817,521,,,,0.14,"Domingues, Jerônimo",
22,Caçador,,Rio de Janeiro,Luanda,Rio de Janeiro,594,1817,570,,,,0.04,"Santos, Félix José dos<br/> Fontes, João Joaquim de Souza",
23,Flor do Rio,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,511,1817,388,,,,0.24,"Teodoro, Teotônio José",
24,Pastora,,"Southeast Brazil, port unspecified","Africa., port unspecified",Rio de Janeiro,,1817,114,,,,,,
25,Emília,,Rio de Janeiro,Cabinda,Rio de Janeiro,444,1817,415,,,,0.07,"Amorim, Domingos Fernandes de",
26,S Pedro do Sul,,Rio de Janeiro,Benguela,Rio de Janeiro,442,1817,428,,,,0.03,"Siqueira, João Inácio de",
27,Diligente,,Rio de Janeiro,Cabinda,Rio de Janeiro,137,1817,129,,,,0.06,"Castro, Alexandre José de<br/> Rodrigues, Custódio",
28,S João Americano,,Rio de Janeiro,Cabinda,Rio de Janeiro,597,1817,524,,,,0.12,"Teixeira, José de Souza",
29,Grão Penedo,,Rio de Janeiro,Cabinda,Rio de Janeiro,546,1817,487,,,,0.11,"Pina, Antônio de",
30,Mariana Dáfne,,Rio de Janeiro,Luanda,Rio de Janeiro,321,1817,307,,,,0.04,"Oliveira, José Malaquias de",
31,Resolução,,Rio de Janeiro,Mozambique,Rio de Janeiro,401,1817,354,,,,0.12,"Gomes, Manoel José",
32,Serpente,,Rio de Janeiro,Cabinda,Rio de Janeiro,439,1817,429,,,,0.02,"Sá, Teodoro José de<br/> Santos, Manoel Pereira dos",
33,Lusitânia,,Rio de Janeiro,Cabinda,Rio de Janeiro,738,1817,649,,,,0.12,"Lopes, Francisco da Silva",
34,Reino do Brasil,,Rio de Janeiro,Cabinda,Rio de Janeiro,427,1817,352,,,,0.18,"Silva, José Leite da<br/> Fogaça, José Joaquim",
35,Maria Tomásia,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,388,1817,368,,,,0.05,"Melo, Francisco Xavier Álvares de",
36,S José Diligente Vulcano,,Rio de Janeiro,Luanda,Rio de Janeiro,420,1817,409,,,,0.03,"Ferreira, Francisco Pedro",
37,General Silveira,,Rio de Janeiro,Benguela,Rio de Janeiro,500,1817,436,,,,0.13,"Souza, Manoel Pereira de",
38,NS do Livramento Telêmaco,,Rio de Janeiro,Cabinda,Rio de Janeiro,541,1817,481,,,,0.11,"Nunes, José Antônio",
39,Amália,,Rio de Janeiro,Luanda,Rio de Janeiro,813,1817,776,,,,0.05,"Camizão, José Maria de Araújo<br/> Pereira, José Marques",
40,Diligente,,Rio de Janeiro,Cabinda,Rio de Janeiro,466,1817,393,,,,0.16,"Caldas, Manoel José",
41,Tejo,,Rio de Janeiro,Luanda,Rio de Janeiro,490,1817,417,,,,0.15,"Oliveira, Antônio Xavier de",
42,Flor do Mar,,Rio de Janeiro,Luanda,Rio de Janeiro,540,1817,456,,,,0.16,"Alcântara, Marcelino José de",
43,Feliz Dias,,"Bahia, port unspecified",Luanda,Rio de Janeiro,282,1817,214,,,,0.24,"Estrela, Francisco Luís da Cunha",
44,Leopoldina,,Rio de Janeiro,Cabinda,Rio de Janeiro,489,1817,441,,,,0.1,"Rubim, Teodoro de Souza",
45,S Rosa,,Rio de Janeiro,Cabinda,Rio de Janeiro,464,1817,439,,,,0.05,"Viana, Pedro José Correa",
46,Golfinho,,Rio de Janeiro,Cabinda,Rio de Janeiro,476,1817,399,,,,0.16,"Fonseca, Manoel Joaquim da",
47,Bonfim,,Rio de Janeiro,Benguela,Rio de Janeiro,604,1817,574,,,,0.05,"Batalha, Luís Antônio",
48,Caçador,,Rio de Janeiro,Luanda,Rio de Janeiro,594,1817,557,,,,0.06,"Fontes, João Joaquim de Souza",
49,Mercúrio,,Rio de Janeiro,Benguela,Rio de Janeiro,496,1817,489,,,,0.01,"Martins, Francisco José",
50,Patrocínio,,Rio de Janeiro,Cabinda,Rio de Janeiro,324,1817,302,,,,0.07,"Sá, Joaquim Manoel de<br/> Silva, Manoel Francisco da",
51,Voador,,Rio de Janeiro,Cabinda,Rio de Janeiro,382,1817,376,,,,0.02,"Pacheco, José dos Santos",
52,Pequena Aventura,,Rio de Janeiro,Cabinda,Rio de Janeiro,239,1817,214,,,,0.1,"Dias, Manoel José",
53,NS dos Remédios,,Rio de Janeiro,Cabinda,Rio de Janeiro,229,1817,215,,,,0.06,"Magalhães, Francisco José Pereira de",
54,Maria,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,530,1817,500,,,,0.06,"Silva, Joaquim Henriques da",
55,Duque de Bragança,,Rio de Janeiro,Mozambique,Rio de Janeiro,606,1817,537,,,,0.11,"Souza, Luís Inácio de",
56,S Pedro do Sul,,Rio de Janeiro,Benguela,Rio de Janeiro,445,1817,435,,,,0.02,"Siqueira, João Inácio de",
57,Triunfo do Brasil,,Lisbon,Luanda,Rio de Janeiro,637,1817,611,,,,0.04,"Carrilho, João Rodrigues",
58,Protetor General,,Rio de Janeiro,Mozambique,Rio de Janeiro,807,1817,468,,,,0.42,"Silva, José dos Santos Almeida e",
59,Trajano,,Rio de Janeiro,Cabinda,Rio de Janeiro,449,1818,417,,,,0.07,"Silva, Joaquim Rodrigues da",
60,Feliz Americano,,Rio de Janeiro,Cabinda,Rio de Janeiro,419,1818,400,,,,0.05,"Azevedo, Agostinho de",
61,Pérola do Norte,,Rio de Janeiro,Mozambique,Rio de Janeiro,421,1818,260,,,,0.38,"Barbosa, Joaquim Gomes",
62,Esgueira,,Rio de Janeiro,Quilimane,Cabo de Buzios,584,1818,500,,,,0.14,"Domingues, Jerônimo",
63,Feliz Eugênia,,Rio de Janeiro,Cabinda,Rio de Janeiro,633,1818,596,,,,0.06,"Moraes, José de",
64,Reino do Brasil,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,400,1818,385,,,,0.04,"Teixeira, José de Souza",
65,Ligeiro,,Rio de Janeiro,Cabinda,Rio de Janeiro,441,1818,433,,,,0.02,"Assis, Francisco Antônio de",
66,Conde da Barca,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,451,1818,430,,,,0.05,"Lopes, Francisco da Silva",
67,Grão Penedo,,Rio de Janeiro,Cabinda,Rio de Janeiro,428,1818,420,,,,0.02,"Pina, Antônio de",
68,Serpente,,Rio de Janeiro,Cabinda,Rio de Janeiro,438,1818,414,,,,0.05,"Santos, Manoel Pereira dos",
69,Pastora de Lima,,Rio de Janeiro,Mozambique,Rio de Janeiro,479,1818,400,,,,0.16,"Cunha, Eusébio José da",
70,Aurora do Cabo,,Rio de Janeiro,Quilimane,Rio de Janeiro,430,1818,341,,,,0.21,"Pederneira, Manoel Pereira",
71,Mariana Dáfne,,Rio de Janeiro,Cabinda,Rio de Janeiro,345,1818,326,,,,0.06,"Macedo, Joaquim Teixeira de",
72,NS do Livramento Telêmaco,,Rio de Janeiro,Benguela,Rio de Janeiro,541,1818,509,,,,0.06,"Nunes, José Antônio",
73,Triunfo do Rio,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,522,1818,495,,,,0.05,"Jaques, Malaquias Lisandro",
74,Famoso Ateneu,,Rio de Janeiro,Cabinda,Rio de Janeiro,370,1818,344,,,,0.07,"Fogaça, Antônio Gomes",
75,Feliz Carlota,,Rio de Janeiro,Cabinda,Rio de Janeiro,225,1818,187,,,,0.17,"Cardoso, Manoel Eusébio",
76,S José Diligente,,Rio de Janeiro,Quilimane,Rio de Janeiro,464,1818,226,,,,0.51,"Nunes, Francisco Pereira",
77,Ana do Rio,,Rio de Janeiro,Cabinda,Rio de Janeiro,341,1818,317,,,,0.07,"Oliveira, João José de",
78,Lusitânia,,Rio de Janeiro,Cabinda,Rio de Janeiro,669,1818,621,,,,0.07,"Fogaça, José Joaquim",
79,Amizade,,Rio de Janeiro,Luanda,Rio de Janeiro,487,1818,428,,,,0.12,"Portela, Adriano",
80,S João Americano,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,391,1818,329,,,,0.16,"Madeira, Manoel José",
81,Saudade do Sul,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,286,1818,259,,,,0.09,"Rocha, João Manoel Pinto da",
82,Delfina,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,409,1818,274,,,,0.33,"Rozo, Manoel Fernandes",
83,Olímpia,,Rio de Janeiro,Cabinda,Rio de Janeiro,441,1818,368,,,,0.17,"Blanchart, Manoel Pereira de Souza",
84,Voadora,,Rio de Janeiro,Cabinda,Rio de Janeiro,463,1818,424,,,,0.08,"Santos, José Pedro dos",
85,S José Diligente Vulcano,,Rio de Janeiro,Luanda,Rio de Janeiro,444,1818,385,,,,0.13,"Alves, Isidoro<br/> Oliveira, José Malaquías de",
86,Maria Tomásia,,Rio de Janeiro,Cabinda,Rio de Janeiro,305,1818,281,,,,0.08,"Melo, Francisco Xavier Álvares de",
87,União Feliz,,Rio de Janeiro,Mozambique,Rio de Janeiro,659,1818,430,,,,0.35,"Silva, Joaquim José da<br/> Caldeira, Antônio Gomes<br/> Teixeira, Jacinto Alves",
88,Emília,,Rio de Janeiro,Cabinda,Rio de Janeiro,392,1818,290,,,,0.26,"Almeida, André Germano Severino de",
89,S Rosa,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,300,1818,293,,,,0.02,"Araújo, Tomás Raimundo Rodrigues de",
90,Príncipe Real,,Rio de Janeiro,Cabinda,Rio de Janeiro,424,1818,319,,,,0.25,"Marta, Inácio Alves",
91,Amália,,Rio de Janeiro,Luanda,Rio de Janeiro,816,1818,751,,,,0.08,"Garcia, Francisco Correa",
92,Bonfim,,Rio de Janeiro,Benguela,Rio de Janeiro,572,1818,540,,,,0.06,"Batalha, Luís Antônio",
93,General Silveira,,Rio de Janeiro,Cabinda,Rio de Janeiro,405,1818,391,,,,0.03,"Figueiredo, João Macário da Silva<br/> Serra, Vicente Nunes da",
94,Voador,,Rio de Janeiro,Cabinda,Rio de Janeiro,367,1818,365,,,,0.01,"Pacheco, José dos Santos<br/> Viana, Pedro Jose Correa",
95,Patrocínio,,Rio de Janeiro,Cabinda,Rio de Janeiro,,1818,239,,,,,"Gomes, Manoel Luís<br/> SIlva, Manoel Francisco da",
96,Maria,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,480,1818,467,,,,0.03,"Silva, Joaquim Henriques da",
97,Elisa,,Rio de Janeiro,Cabinda,Rio de Janeiro,288,1818,282,,,,0.02,"Carvalho, Antônio Joaquim de",
98,Diligente,,Rio de Janeiro,Cabinda,Rio de Janeiro,118,1818,100,,,,0.15,"Ferreira, Antônio José",
99,Luís,,Rio de Janeiro,Luanda,Rio de Janeiro,569,1818,513,,,,0.1,"Coelho, Jacinto Fernandes",
100,S Pedro do Sul,,Rio de Janeiro,Benguela,Rio de Janeiro,440,1818,431,,,,0.02,"Siqueira, João Inácio de",
101,Feliz Americano,,Rio de Janeiro,Cabinda,Rio de Janeiro,291,1818,290,,,,0.0,"Azevedo, Agostinho de",
102,Ludovino,,Rio de Janeiro,Congo River,Rio de Janeiro,408,1818,407,,,,0.0,"Viana, José Pinto de Araújo",
103,Reino do Brasil,,Rio de Janeiro,Cabinda,Rio de Janeiro,335,1818,334,,,,0.0,"Teixeira, José de Souza",
104,Ligeiro,,Rio de Janeiro,Cabinda,Rio de Janeiro,,1818,324,,,,,"Assis, Francisco Antônio de",
105,Feliz Eugênia,,Rio de Janeiro,Cabinda,Rio de Janeiro,483,1818,479,,,,0.01,"Moraes, José de",
106,Mercúrio,,Rio de Janeiro,Benguela,Rio de Janeiro,492,1818,480,,,,0.02,"Martins, Francisco José",
107,Ásia,,Rio de Janeiro,Cabinda,Rio de Janeiro,334,1818,328,,,,0.02,"Martins, Diogo José<br/> Lima, Lourenço Manoel de",
108,Feliz Carlota,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,,1818,265,,,,,"Pereira, Albino Mariano dos Santos",
109,Esgueira,,Rio de Janeiro,Mozambique,Rio de Janeiro,544,1818,396,,,,0.27,"Silva, José dos Santos Almeida e",
110,Leopoldina,,Rio de Janeiro,Cabinda,Rio de Janeiro,331,1818,316,,,,0.05,"Cunha, Henrique Francisco da",
111,Serpente,,Rio de Janeiro,Mozambique,Rio de Janeiro,375,1818,293,,,,0.22,"Cunha, Eusébio José da",
134,S José Americano,,Rio de Janeiro,Cabinda,Rio de Janeiro,808,1822,750,,,,0.07,"Marques, Domingos Joaquim",
135,Golfinho,,Rio de Janeiro,Cabinda,Rio de Janeiro,,1822,417,,,,,"Braga, Antônio Manoel de Azevedo<br/> Porto, Antônio Alves da Silva",
136,Aurora do Cabo,,Rio de Janeiro,Mozambique,Rio de Janeiro,492,1822,298,,,,0.39,"Pacheco, José Emídio Adauto<br/> Ferreira, João Antônio",
137,S Filipe Londoffe,,"Bahia, port unspecified",Mozambique,Rio de Janeiro,428,1822,413,,,,0.04,,
138,Paquete do Rio,,Rio de Janeiro,Cabinda,Rio de Janeiro,470,1822,460,,,,0.02,"Blanchart, Manoel Pereira de Souza",
139,Liberal,,"Southeast Brazil, port unspecified",Congo River,Rio de Janeiro,,1822,145,,,,,"Machado, Manoel de Souza",
140,Amazona,,Rio de Janeiro,Mozambique,Rio de Janeiro,465,1822,422,,,,0.09,"Silva, Manoel Lopes da<br/> Viana, Manoel Goncalves",
141,NS da Conceição Esperança,,Santos,Mozambique,Rio de Janeiro,389,1822,265,,,,0.32,"Carvalho, Agostinho J",
142,Pastora de Lima,,Rio de Janeiro,Luanda,Rio de Janeiro,467,1822,407,,,,0.13,"Oliveira, José Malaquias de",
143,Esperança,,Rio de Janeiro,Benguela,Rio de Janeiro,431,1822,402,,,,0.07,"Loureiro, Joaquim José da Silva",
144,Triunfo do Brasil,,Rio de Janeiro,Mozambique,Rio de Janeiro,532,1822,401,,,,0.25,"Carrilho, João Rodrigues",
145,NS da Guia,,Rio de Janeiro,Quilimane,Rio de Janeiro,529,1822,436,,,,0.18,"Silva, José Jorge da",
146,Maria Tomásia,,Rio de Janeiro,Luanda,Rio de Janeiro,470,1822,410,,,,0.13,"Silva, José Pinto Ribeiro da<br/> Trindade, Francisco Dias",
147,Ulisses,,Rio de Janeiro,Mozambique,Rio de Janeiro,631,1822,418,,,,0.34,"Viana, Pedro José Correa",
148,Trajano,,Rio de Janeiro,Cabinda,Rio de Janeiro,462,1822,460,,,,0.0,"Silva, Manoel Francisco da",
149,Zéfiro,,Rio de Janeiro,Quilimane,Rio de Janeiro,504,1822,483,,,,0.04,"Melo, José Antônio de<br/> Costa, Domingos Luís da",
150,Mercúrio,,Rio de Janeiro,Benguela,Rio de Janeiro,420,1822,384,,,,0.09,"Pereira, Anacleto de Jesus",
151,Leopoldina,,Rio de Janeiro,Quilimane,Rio de Janeiro,481,1822,448,,,,0.07,"Menezes, Antônio Joaquim de",
152,Mariana,,Rio de Janeiro,Mozambique,Rio de Janeiro,520,1822,380,,,,0.27,"Domingues, Jerônimo",
153,Minerva,,Rio de Janeiro,Quilimane,Rio de Janeiro,577,1822,475,,,,0.18,"Souza, Antônio José de",
154,Príncipe Regente,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,681,1822,664,,,,0.02,"Santos, Antônio Teodoro dos",
155,Príncipe Real Duque de Bragança,,"Pernambuco, port unspecified",Benguela,Rio de Janeiro,,1822,,,,,,"Baduem, Joaquim Azevedo",
156,Vinte e Seis de Fevereiro,,Rio de Janeiro,Mozambique,Rio de Janeiro,623,1822,455,,,,0.27,"Branco, Paulo José",
157,NS da Boa Viagem Abismo,,"Pernambuco, port unspecified",Luanda,Rio de Janeiro,305,1822,239,,,,0.22,"Brito, Antônio Luís Ribeiro de<br/> Rocha, Joaquim Jose da",
158,General Sampaio,,Lisbon,Luanda,Rio de Janeiro,465,1822,352,,,,0.24,"Ferreira, Joaquim Francisco Xavier",
159,General Silveira,,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,460,1822,406,,,,0.12,"Freitas, Antônio Lourenço de<br/> Vale, João Gomes",
160,Conde dos Arcos,,Rio de Janeiro,Quilimane,Rio de Janeiro,477,1822,425,,,,0.11,"Luz, Antônio da",
161,Mariana Dáfne,,Rio de Janeiro,Luanda,Rio de Janeiro,479,1822,375,,,,0.22,"Oliveira, Sérgio Ferreira de",
162,Feliz Eugênia,,Rio de Janeiro,Mozambique,Rio de Janeiro,672,1822,455,,,,0.32,"Fogaça, Antônio Gomes",
163,S Antônio Destemido (a) S Amaro,,Rio de Janeiro,Luanda,Rio de Janeiro,747,1822,519,,,,0.31,"Silva, Jacob Leandro da",
164,Maria,,Rio de Janeiro,Cabinda,Rio de Janeiro,448,1822,379,,,,0.15,"Marta, Inácio Alves<br/> Lopes, João Crisóstomo Rodrigues",
165,S Rosa,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,313,1822,291,,,,0.07,"Faria, Manoel de Jesus",
166,NS do Baluarte,,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,418,1822,203,,,,0.51,"Pinheiro, Luís José Soares",
167,S José Diligente Vulcano,,Rio de Janeiro,Luanda,Rio de Janeiro,390,1822,362,,,,0.07,"Costa, Silvestre Manoel Pereira da",
168,NS da Conceição e Sr dos Passos,,Rio de Janeiro,Luanda,Rio de Janeiro,449,1822,400,,,,0.11,"Santos, José Vitorino dos",
169,Reino do Brasil,,Rio de Janeiro,Benguela,Rio de Janeiro,425,1822,388,,,,0.09,"Maia, Manoel Rodrigues",
170,Grão Penedo,,Rio de Janeiro,Cabinda,Rio de Janeiro,459,1822,432,,,,0.06,"Salazar, José Pereira<br/> Ferreira, João Antônio",
171,Urânia,,Rio de Janeiro,Luanda,Rio de Janeiro,302,1822,268,,,,0.11,"Gomes, Manoel de Souza",
172,Amália,,Rio de Janeiro,Luanda,Rio de Janeiro,760,1822,607,,,,0.2,"Batalha, Luís Antônio<br/> Viana, Manoel Goncalves",
173,Santana Flor de Luanda,,Rio de Janeiro,Cabinda,Rio de Janeiro,545,1822,533,,,,0.02,"Lopes, Francisco da Silva",
174,Ligeiro,,Rio de Janeiro,Benguela,Rio de Janeiro,408,1822,390,,,,0.04,"Santos, Francisco dos",
175,S José Diligente,,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,,1822,428,,,,,"Branco, Antônio Rodrigues",
176,Mercantil,,Rio de Janeiro,Luanda,Rio de Janeiro,733,1822,695,,,,0.05,"Rodrigues, Francisco Manoel de",
177,Seis de Fevereiro,,"Southeast Brazil, port unspecified","Africa., port unspecified",Rio de Janeiro,467,1822,466,,,,0.0,,
178,Flor do Brasil,,Rio de Janeiro,Luanda,Rio de Janeiro,655,1822,572,,,,0.13,"Costa, João Lopes da",
179,Caçador,,Rio de Janeiro,Luanda,Rio de Janeiro,595,1822,535,,,,0.1,"Oliveira, Francisco de Paula Neves de",
180,Tejo,,Rio de Janeiro,Luanda,Rio de Janeiro,472,1822,376,,,,0.2,"Sá, José Ferreira de",
181,Adamastor,,Rio de Janeiro,Benguela,Rio de Janeiro,525,1822,524,,,,0.0,"Seixas, Valeriano José de<br/> Vale, João Gomes",
182,Marquês de Pombal,,Lisbon,Benguela,Rio de Janeiro,300,1822,298,,,,0.01,"Azevedo, José Francisco de<br/> Felix, Inácio José",
183,Vitória,,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,,1822,100,,,,,,
184,General Rêgo,,Rio de Janeiro,Luanda,Rio de Janeiro,515,1822,467,,,,0.09,"Pereira, Albino Mariano dos Santos",
185,Polifemo,,Rio de Janeiro,Cabinda,Rio de Janeiro,438,1822,434,,,,0.01,"Santos, Antônio Teodoro dos",
186,Trajano,,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,410,1822,407,,,,0.01,"Melo, Francisco José de",
187,Bela Americana,,Rio de Janeiro,Cabinda,Rio de Janeiro,,1822,351,,,,,"Chaves, José Joaquim<br/> Silva, José.da",
188,Golfinho,,Rio de Janeiro,Cabinda,Rio de Janeiro,,1822,470,,,,,"Braga, Antônio Manoel de Azevedo<br/> Ferreira, João Antônio",
189,Paquete do Rio,,Rio de Janeiro,Cabinda,Rio de Janeiro,499,1822,495,,,,0.01,"Blanchart, Manoel Pereira de Souza",
190,Esperança,,Rio de Janeiro,Luanda,Rio de Janeiro,574,1822,561,,,,0.02,"Loureiro, Joaquim José da Silva",
191,Esperança,,Rio de Janeiro,Benguela,Rio de Janeiro,431,1822,425,,,,0.01,"Pacheco, José dos Santos",
192,Imperador Feliz,,Rio de Janeiro,Luanda,Rio de Janeiro,617,1822,541,,,,0.12,"Pereira, Francisco Manoel",
193,Aurora do Cabo,,Rio de Janeiro,Quilimane,Rio de Janeiro,497,1822,452,,,,0.09,"Pacheco, José Emídio Adauto<br/> Vale, João Gomes",
194,Triunfo do Brasil,,Rio de Janeiro,Cabinda,Rio de Janeiro,338,1822,335,,,,0.01,"Neves, Maximiliano José das",
195,Africano Constitucional,,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,639,1822,590,,,,0.08,,
196,NS da Conceição e Sr dos Passos,,Rio de Janeiro,Luanda,Rio de Janeiro,451,1822,418,,,,0.07,"Santos, José Vitorino dos",
197,Pastora de Lima,,Rio de Janeiro,Benguela,Rio de Janeiro,467,1822,460,,,,0.01,"Oliveira, José Malaquias de",
198,Santana Flor da África,,"Bahia, port unspecified","Bight of Benin, port unspecified","Bahia, port unspecified",228,1822,216,,,,0.05,"Almeida, Manoel Joaquim de",
199,Sacramento,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",201,1822,196,,,,0.02,"Santos, José Martins dos",
200,Alegria dos Anjos,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",170,1822,168,,,,0.01,"Porto, Antônio Ribeiro",
201,Lusitânia,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",173,1822,165,,,,0.05,"Neto, Miguel Antônio",
202,Rosália,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",152,1822,146,,,,0.04,"Alberto, Caetano",
203,Desengano Feliz,,"Southeast Brazil, port unspecified","Lagos, Onim",Rio de Janeiro,408,1822,390,,,,0.04,,
204,Bonfim,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",70,1822,57,,,,0.19,"Neves, Pascoal de Souza",
205,Vitória,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",421,1822,412,,,,0.02,"Santos, Manoel Cardoso dos",
206,Paquete da Bahia,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",307,1822,355,,,,0.02,"Cardoso, Manoel Isidoro",
207,Vigilante Guerreiro,,"Bahia, port unspecified",Whydah,"Bahia, port unspecified",,1822,233,,,,,"Pontes, João Antônio",
208,Paz e União,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",371,1822,355,,,,0.04,"Silva, André Pinto da",
209,Bela Astrea,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",43,1822,40,,,,0.07,"Guimarães, Manoel José da Silveira",
210,Fé,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",,1822,48,,,,,,
211,Americana,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",47,1822,45,,,,0.06,"Ribeiro, José da Conceição",
212,Lucrécia,,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",304,1822,294,,,,0.05,"Noronha, Manoel Joaquim de",
213,Voador,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",,1822,94,,,,,"Pereira, Manoel Joaquim",
214,Cisne,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",419,1822,409,,,,0.02,"Almeida, Manoel Gomes de",
215,Maria da Glória,,"Bahia, port unspecified",Porto Novo,"Bahia, port unspecified",395,1822,381,,,,0.04,"Teixeira, João Vicente da",
216,Toninha,,"Bahia, port unspecified",Bights,Rio de Janeiro,268,1822,256,,,,0.04,"Silva, Antônio José da",
217,Zéfiro,,"Bahia, port unspecified",Whydah,"Bahia, port unspecified",380,1822,357,,,,0.06,"Rios, Marcelino Álvares da Cruz",
218,Sacramento,,"Bahia, port unspecified","Lagos, Onim","Bahia, port unspecified",198,1822,185,,,,0.07,"Veloso, José Joaquim",
219,S João e Segunda Rosália,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",168,1822,160,,,,0.05,"Sabino, João",
220,Primeira Estrela,,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",179,1822,170,,,,0.05,"Rodrigues, Cosme José",
221,Vigilante,,"Bahia, port unspecified",Whydah,"Bahia, port unspecified",246,1822,243,,,,0.01,"Costa, João Martins da",
222,Alegria dos Anjos,,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",332,1822,315,,,,0.05,"Porto, Antônio Ribeiro<br/> Belém, João Maurício",
223,NS da Conceição,,"Bahia, port unspecified","Lagos, Onim","Bahia, port unspecified",365,1822,352,,,,0.04,"Miranda, Manoel Joaquim de",
