Voyage ID,Vessel name,Voyage ship place where vessel registered ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Percent men,Percent women,Percent children,Mortality rate,Captain's name,Resistance label
8174,Bom Jesus de Além e NS do Vale,,Rio de Janeiro,Luanda,Rio de Janeiro,,1747,,,,,,"Guimarães, Antônio da Silva",
8175,Sr do Bonfim Mãe de Deus e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1748,,,,,,"Costa, José da (Neto)",
8176,NS das Mercês S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1748,,,,,,"Dias, José",
8177,Sr do Bonfim NS do Porto de Avel el S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1749,,,,,,"Oliveira, José de",
8178,S Rita e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1750,,,,,,"Lima, Tomás da Costa",
8179,NS do Monte do Carmo S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1750,,,,,,"Fonseca, Manoel Pinto da",
8180,NS da Conceição S Rita e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1750,,,,,,"Figueira, Marçal José",
8181,NS do Bonsucesso Santana e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1750,,,,,,"João, Bernardo",
8182,S Clara S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1750,,,,,,"Ferreira, Manoel Rodrigues",
8183,S José S André e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1751,,,,,,"Matos, Antônio Gomes de",
8184,Sr do Bonfim e Mãe de Deus,,Rio de Janeiro,Luanda,Rio de Janeiro,,1751,,,,,,"Santos, José da Silva",
8185,S Francisco Xavier e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1751,,,,,,"José, Caetano",
8186,Santana NS da Conceição e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1751,,,,,,"Penha, Antônio da Silva",
8187,NS do Monte do Carmo e Sr Bom Jesus das Portas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1751,,,,,,"Vieira, José Caetano de Araújo",
8188,NS da Conceição Santana e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1752,,,,,,"Ilha, Manoel Rodrigues",
8189,NS do Bonsucesso e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1752,,,,,,"Neves, José Martins",
8190,NS da Atalaia e Bom Jesus das Portas,,Rio de Janeiro,Luanda,"Bahia, port unspecified",,1753,228,,,,,"Borges, Joaquim Duarte<br/> Ferreira, Manoel",
8191,NS da Conceição da Ponte e Bom Jesus das Portas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1753,,,,,,"Carvalho, Manoel Dias",
8192,NS do Livramento e S Francisco de Paula,,Rio de Janeiro,Luanda,Rio de Janeiro,,1754,,,,,,"Rabelo, Caetano José",
8193,NS do Porto S José e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1754,,,,,,"Rocha, Antônio da Silva",
8194,NS da Conceição S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1755,,,,,,"Borges, Francisco Pereira",
8195,NS da Penha da França S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1755,,,,,,"Cruz, Inácio Rodrigues da",
8196,NS do Patrocíno S José de Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1755,,,,,,"Dias, José",
8197,NS do Monte do Carmo S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1756,,,,,,"Fonseca, Antônio Pinto da",
8198,NS do Monte do Carmo e S Francisco Xavier,,Rio de Janeiro,Luanda,Rio de Janeiro,,1756,,,,,,"Siqueira, João Antônio da",
8199,NS da Piedade S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1756,,,,,,,
8200,NS da Oliveira e S Francisco de Paula,,Rio de Janeiro,Luanda,Rio de Janeiro,,1756,,,,,,"Guimarães, Manoel da Silva",
8201,NS do Patrocínio e S João Batista,,Rio de Janeiro,Luanda,Rio de Janeiro,,1756,,,,,,"Marques, Manoel Gonçalves",
8202,Santana e S Joaquim,,Rio de Janeiro,Luanda,Rio de Janeiro,,1756,,,,,,"Penha, Antônio da Silva",
8203,NS da Conceição S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1757,,,,,,"Santos, Dionísio dos",
8204,NS do Passo S José e S Cruz,,Rio de Janeiro,Luanda,Rio de Janeiro,,1757,,,,,,"José, Joaquim",
8205,NS da Penha da França S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1757,,,,,,"Cruz, Inácio Rodrigues da",
8206,NS de Guadalupe S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1757,,,,,,"Gomes, José",
8207,NS do Patrocíno S José de Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1758,,,,,,"Bastos, Manoel Gonçalves",
8208,NS da Oliveira e Santos Reis,,Rio de Janeiro,Luanda,Rio de Janeiro,,1758,,,,,,"Moraes, José Antônio",
